Offencecategory,Offencetype,Violation,Gender,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Violent Criminal Code Violation,Total other violent violations,Incest,Female,0,0,0,0,0,0,0,0,1,0,0
Violent Criminal Code Violation,Total other violent violations,Voyeurism,Female,0,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,Total other violent violations,Nonconsensual distribution of intimate images,Female,0,0,0,0,0,0,0,0,1,2,0
Violent Criminal Code Violation,Total other violent violations,"Arson, disregard for human life",Female,1,0,0,0,1,1,1,1,0,0,0
Total Property Crime Violations,Total breaking and entering,Breaking and entering,Female,69,55,51,46,53,39,33,25,15,22,28
Total Property Crime Violations,Total breaking and entering,Breaking and entering to steal a firearm,Female,0,0,0,0,1,0,0,1,0,0,0
Total Property Crime Violations,Total possession of stolen property,Total possession of stolen property,Female,59,47,37,30,25,14,8,16,8,14,12
Total Property Crime Violations,Total trafficking in stolen property,Total trafficking in stolen property,Female,0,0,0,0,0,0,0,0,0,0,0
Total Property Crime Violations,Total theft of motor vehicle,Total Theft of motor vehicle,Female,38,32,38,17,14,11,20,15,17,12,15
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Theft over $5,000",Female,2,0,0,1,3,1,0,1,1,2,0
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Theft over $5,000 from a motor vehicle",Female,0,0,2,0,0,0,0,0,0,0,0
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Shoplifting over $5,000",Female,0,0,0,1,0,0,0,0,0,1,0
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Theft $5,000 or under",Female,38,37,25,41,24,17,19,24,23,12,18
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Theft $5,000 or under from a motor vehicle",Female,4,4,4,8,10,7,7,8,3,5,1
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Shoplifting $5,000 or under",Female,293,330,342,229,130,110,93,81,81,53,67
Total Property Crime Violations,Fraud,Fraud,Female,41,32,19,14,14,18,9,9,7,10,15
Total Property Crime Violations,Identity theft,Identity Theft,Female,0,0,0,0,0,0,0,1,0,0,0
Total Property Crime Violations,Identify fraud,Identity Fraud,Female,0,0,1,1,0,4,4,4,4,2,2
Total Property Crime Violations,Total mischief,Mischief,Female,80,53,64,50,56,50,41,29,33,29,25
Total Property Crime Violations,Arson,Arson,Female,4,4,7,1,3,5,2,1,1,3,6
Total Other Criminal Code violations,Counterfeiting,Counterfeiting,Female,1,1,1,0,0,0,0,0,1,0,2
Total Other Criminal Code violations,Total weapons violations,Possession of weapons,Female,14,9,12,12,9,4,5,9,10,3,5
Total Other Criminal Code violations,Total weapons violations,Unsafe storage of firearms,Female,0,0,0,0,0,1,0,0,0,0,0
Total Other Criminal Code violations,"Possession of, or accessing child pornography","Possession of, or accessing child pornography",Female,0,0,0,1,0,0,0,1,2,0,0
Total Other Criminal Code violations,"Making, or distribution of child pornography","Making, or distribution of child pornography",Female,0,0,0,0,0,0,0,0,4,0,0
Total Other Criminal Code violations,Total prostitution,Procuring,Female,0,0,1,0,1,0,0,0,0,0,0
Total Other Criminal Code violations,Total prostitution,Obtains or communicates with a person under age 18 for purpose of sex,Female,0,0,0,0,1,1,0,0,0,0,0
Total Other Criminal Code violations,Total prostitution,Other prostitution,Female,1,1,0,0,2,0,0,0,0,0,0
Total Other Criminal Code violations,Disturb the peace,Disturb the peace,Female,55,75,83,60,41,22,14,12,10,9,8
Total Other Criminal Code violations,Total administration of justice violations,Fail to comply with order,Female,202,212,200,199,174,171,123,157,175,115,121
Total Other Criminal Code violations,Total administration of justice violations,Escape or helps to escape from lawful custody,Female,1,0,0,2,1,0,0,0,0,1,0
Total Other Criminal Code violations,Total administration of justice violations,Fail to appear,Female,9,2,8,4,2,6,1,1,1,0,1
Total Other Criminal Code violations,Total administration of justice violations,Breach of probation,Female,5,5,7,10,7,5,5,7,4,5,4
Total Other Criminal Code violations,Total administration of justice violations,Other violations against the administration of law and justice (Part IV Criminal Code),Female,15,5,9,6,0,5,2,6,3,2,1
Total Other Criminal Code violations,Total other other violations,Indecent acts,Female,2,1,2,1,0,0,0,0,0,0,0
Total Other Criminal Code violations,Total other other violations,Obstruct public or peace officer,Female,16,19,16,17,12,13,13,7,8,6,3
Total Other Criminal Code violations,Total other other violations,Trespass at night,Female,0,0,0,0,1,0,1,0,0,0,0
Total Other Criminal Code violations,Total other other violations,Utter threats to property or animal,Female,1,1,1,0,0,2,0,0,0,0,1
Total Other Criminal Code violations,Total other other violations,Offences against public order (Part II Criminal Code),Female,0,3,1,0,3,0,0,0,0,0,0
Total Other Criminal Code violations,Total other other violations,Offences against rights of property (Part IX Criminal Code),Female,1,3,0,1,1,2,2,6,1,0,0
Total Other Criminal Code violations,Total other other violations,Willful and forbidden acts in respect of certain property (Part XI Criminal Code),Female,0,2,0,0,0,1,0,0,0,1,1
